Greece,United States,30
United States,Bermuda,193
United States,Portugal,134
United States,Trinidad and Tobago,217
Romania,United States,14
Bahrain,United States,19
India,United States,61
United States,Mexico,7187
United States,Poland,33
United States,Saint Barthelemy,41
United States,Bulgaria,1
United States,Egypt,12
Singapore,United States,3
Nicaragua,United States,179
United States,Colombia,867
United States,Nigeria,50
Indonesia,United States,1
United States,Peru,337
Mexico,United States,7140
Dominica,United States,20
Trinidad and Tobago,United States,211
Canada,United States,8399
United States,Bahrain,1
South Africa,United States,36
Luxembourg,United States,155
Bermuda,United States,183
United States,Philippines,126
Curacao,United States,90
Nigeria,United States,59
United States,Greenland,4
Cyprus,United States,1
Cuba,United States,466
Israel,United States,134
British Virgin Islands,United States,107
Martinique,United States,44
Niger,United States,2
The Bahamas,United States,955
United States,Jordan,44
United Arab Emirates,United States,320
United States,Belgium,228
Barbados,United States,154
United States,Romania,15
United States,Cook Islands,13
United States,Samoa,25
Panama,United States,510
Belize,United States,188
Georgia,United States,2
United States,Czech Republic,12
United States,Guatemala,318
United States,France,952
United States,Antigua and Barbuda,117
